epirr_id,status,data_generating_centre,assay_type,experiment_type,uuid,inputs,inputs_ctl,original_read_length,original_read_length_ctl,trimmed_read_length,trimmed_read_length_ctl,software_version,chastity_passed,paired_end,analyzed_as_stranded,upload_date,data_file_path,epirr_id_without_version
IHECRE00000004.3,complete,BLUEPRINT,ChIP-Seq,H3K27me3,5bccbd26-89db-49c5-8936-a07080d84fbf,EGAX00001069014,EGAR00001072372,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000004.3.5bccbd26-89db-49c5-8936-a07080d84fbf.*,IHECRE00000004
IHECRE00000004.3,complete,BLUEPRINT,ChIP-Seq,H3K36me3,f2ae12dd-4c96-490e-afaa-ca77964f5b1c,EGAR00001072387,EGAR00001072372,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000004.3.f2ae12dd-4c96-490e-afaa-ca77964f5b1c.*,IHECRE00000004
IHECRE00000004.3,complete,BLUEPRINT,ChIP-Seq,H3K4me1,62c643a6-3471-485e-af2b-390ee2d6adff,EGAX00001069013,EGAR00001072372,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000004.3.62c643a6-3471-485e-af2b-390ee2d6adff.*,IHECRE00000004
IHECRE00000004.3,complete,BLUEPRINT,ChIP-Seq,H3K4me3,d97cec1d-7d0f-4eca-828b-b016663b72c7,EGAX00001069011,EGAR00001072372,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,11-26-2021,incoming/ChIP-Seq/11-29-2021/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000004.3.d97cec1d-7d0f-4eca-828b-b016663b72c7.*,IHECRE00000004
IHECRE00000004.3,complete,BLUEPRINT,ChIP-Seq,H3K9me3,d4ddb155-135f-4f63-b728-20a003fec429,EGAR00001072390,EGAR00001072372,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000004.3.d4ddb155-135f-4f63-b728-20a003fec429.*,IHECRE00000004
IHECRE00000004.3,complete,BLUEPRINT,RNA-Seq,total-RNA-Seq,5e19e268-1607-42a0-ab4a-54cfac309915,EGAR00001072697,nan,76,nan,75,nan,ihec-rnaseq-containerv1.1.0,true,true,true,05-06-2022,incoming/RNA-Seq/05-06-2022/ihec.rna-seq.ihec-grapenf-containerv1.1.0.IHECRE00000004.3.5e19e268-1607-42a0-ab4a-54cfac309915.*,IHECRE00000004
IHECRE00000004.3,complete,BLUEPRINT,WGBS,standard,2110cdcf-b319-4def-9957-f2decf99d694,EGAR00001090574;EGAR00001090575;EGAR00001090576;EGAR00001090577;EGAR00001090578;EGAR00001090579;EGAR00001090580;EGAR00001090581;EGAR00001090582;EGAR00001090583;EGAR00001090584;EGAR00001090585;EGAR00001090586;EGAR00001090587;EGAR00001090588;EGAR00001090589;EGAR00001090590;EGAR00001090591;EGAR00001090592;EGAR00001302857;EGAR00001302858;EGAR00001302859;EGAR00001302860;EGAR00001302861;EGAR00001302862;EGAR00001302863;EGAR00001302864;EGAR00001302865;EGAR00001302866;EGAR00001302867;EGAR00001302868;EGAR00001302869;EGAR00001302870;EGAR00001302871;EGAR00001302872;EGAR00001302873;EGAR00001302874;EGAR00001302875,nan,101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101,nan,101,nan,ihec-wgbs-containerv3.5.0,nan,true,nan,05-07-2021,incoming/WGBS/05-07-2021/ihec.wgbs.ihec-gembs-containerv3.5.0.IHECRE00000004.3.2110cdcf-b319-4def-9957-f2decf99d694.*,IHECRE00000004
IHECRE00000008.3,complete,BLUEPRINT,ChIP-Seq,H3K27ac,2e1ab747-5c43-4469-97d5-a2e674bc3ee6,EGAR00001132130,EGAR00001228073,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000008.3.2e1ab747-5c43-4469-97d5-a2e674bc3ee6.*,IHECRE00000008
IHECRE00000008.3,complete,BLUEPRINT,ChIP-Seq,H3K27me3,f83f1262-12e2-4b8d-b11c-8637f8303ed6,EGAR00001132161,EGAR00001228073,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000008.3.f83f1262-12e2-4b8d-b11c-8637f8303ed6.*,IHECRE00000008
IHECRE00000008.3,complete,BLUEPRINT,ChIP-Seq,H3K36me3,248d0803-44a8-4240-ab7f-e2ff74839d74,EGAR00001132100,EGAR00001228073,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000008.3.248d0803-44a8-4240-ab7f-e2ff74839d74.*,IHECRE00000008
IHECRE00000008.3,complete,BLUEPRINT,ChIP-Seq,H3K4me1,d0e9d2b8-31ed-4f18-8f4f-ade1dc88724d,EGAR00001132101,EGAR00001228073,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000008.3.d0e9d2b8-31ed-4f18-8f4f-ade1dc88724d.*,IHECRE00000008
IHECRE00000008.3,complete,BLUEPRINT,ChIP-Seq,H3K4me3,7a0eab6c-12cc-401e-88c5-dd56ded2f99e,EGAR00001132129,EGAR00001228073,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000008.3.7a0eab6c-12cc-401e-88c5-dd56ded2f99e.*,IHECRE00000008
IHECRE00000008.3,complete,BLUEPRINT,ChIP-Seq,H3K9me3,b96d5c84-a138-4fe2-8971-713e73270893,EGAR00001132162,EGAR00001228073,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000008.3.b96d5c84-a138-4fe2-8971-713e73270893.*,IHECRE00000008
IHECRE00000008.3,complete,BLUEPRINT,RNA-Seq,total-RNA-Seq,a1419edd-b37d-4c0d-815e-323bc0e6fc20,EGAR00001137338,nan,76,nan,75,nan,ihec-rnaseq-containerv1.1.0,true,true,true,05-06-2022,incoming/RNA-Seq/05-06-2022/ihec.rna-seq.ihec-grapenf-containerv1.1.0.IHECRE00000008.3.a1419edd-b37d-4c0d-815e-323bc0e6fc20.*,IHECRE00000008
IHECRE00000008.3,complete,BLUEPRINT,WGBS,standard,150f6503-c7ab-44fb-a903-ebf1b17b2625,EGAR00001152224;EGAR00001152228;EGAR00001152246;EGAR00001152257;EGAR00001152261;EGAR00001152279;EGAR00001152283;EGAR00001152287;EGAR00001152291;EGAR00001152317;EGAR00001152321;EGAR00001152325;EGAR00001152329;EGAR00001152336,nan,101;101;101;101;101;101;101;101;101;101;101;101;101;101,nan,101,nan,ihec-wgbs-containerv3.5.0,nan,true,nan,05-07-2021,incoming/WGBS/05-07-2021/ihec.wgbs.ihec-gembs-containerv3.5.0.IHECRE00000008.3.150f6503-c7ab-44fb-a903-ebf1b17b2625.*,IHECRE00000008
IHECRE00000009.3,partial,BLUEPRINT,ChIP-Seq,H3K27ac,2dc8b941-fde9-464c-b465-4ae10f662f7a,EGAR00001088366,EGAR00001088383,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000009.3.2dc8b941-fde9-464c-b465-4ae10f662f7a.*,IHECRE00000009
IHECRE00000009.3,partial,BLUEPRINT,ChIP-Seq,H3K27me3,9737d50d-c092-47a1-a73b-5f5e6231c0d9,EGAR00001088360,EGAR00001088383,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000009.3.9737d50d-c092-47a1-a73b-5f5e6231c0d9.*,IHECRE00000009
IHECRE00000009.3,partial,BLUEPRINT,ChIP-Seq,H3K36me3,5b7a3964-4022-4fc2-9d67-8e508a120e68,EGAR00001095375,EGAR00001088383,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000009.3.5b7a3964-4022-4fc2-9d67-8e508a120e68.*,IHECRE00000009
IHECRE00000009.3,partial,BLUEPRINT,ChIP-Seq,H3K4me1,93bf3fb5-a4fd-454f-af68-df38f1f92327,EGAR00001088359,EGAR00001088383,75,42,75,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000009.3.93bf3fb5-a4fd-454f-af68-df38f1f92327.*,IHECRE00000009
IHECRE00000009.3,partial,BLUEPRINT,ChIP-Seq,H3K4me3,2e11b24c-7e76-4063-be9f-3c96232e35e7,EGAR00001088365,EGAR00001088383,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000009.3.2e11b24c-7e76-4063-be9f-3c96232e35e7.*,IHECRE00000009
IHECRE00000009.3,partial,BLUEPRINT,ChIP-Seq,H3K9me3,6ece77d8-5264-441c-802c-7a4ab700929b,EGAR00001088361,EGAR00001088383,75,42,75,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000009.3.6ece77d8-5264-441c-802c-7a4ab700929b.*,IHECRE00000009
IHECRE00000010.3,partial,BLUEPRINT,ChIP-Seq,H3K27ac,867d9ec3-9d9c-46a1-85cf-728b76d20f0a,EGAR00001228612,EGAR00001185058,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,04-23-2022,incoming/ChIP-Seq/04-22-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000010.3.867d9ec3-9d9c-46a1-85cf-728b76d20f0a.*,IHECRE00000010
IHECRE00000010.3,partial,BLUEPRINT,ChIP-Seq,H3K27me3,a5962a1b-5cd9-49b0-a53b-20162fd3dc5b,EGAR00001228613,EGAR00001185058,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,04-23-2022,incoming/ChIP-Seq/04-22-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000010.3.a5962a1b-5cd9-49b0-a53b-20162fd3dc5b.*,IHECRE00000010
IHECRE00000010.3,partial,BLUEPRINT,ChIP-Seq,H3K36me3,f1ae9455-c7d7-4f50-92d0-1bb9a63f0c94,EGAR00001185066,EGAR00001185058,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,04-23-2022,incoming/ChIP-Seq/04-22-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000010.3.f1ae9455-c7d7-4f50-92d0-1bb9a63f0c94.*,IHECRE00000010
IHECRE00000010.3,partial,BLUEPRINT,ChIP-Seq,H3K4me1,55bee9fb-8939-450f-ba63-1bcb9322a6de,EGAR00001185067,EGAR00001185058,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,04-23-2022,incoming/ChIP-Seq/04-22-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000010.3.55bee9fb-8939-450f-ba63-1bcb9322a6de.*,IHECRE00000010
IHECRE00000010.3,partial,BLUEPRINT,ChIP-Seq,H3K4me3,e2422090-eb64-4204-aa78-4160008eceea,EGAR00001228086,EGAR00001185058,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,04-23-2022,incoming/ChIP-Seq/04-22-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000010.3.e2422090-eb64-4204-aa78-4160008eceea.*,IHECRE00000010
IHECRE00000010.3,partial,BLUEPRINT,ChIP-Seq,H3K9me3,ca774e05-01f1-4f9c-893d-567180980361,EGAR00001185068,EGAR00001185058,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,04-23-2022,incoming/ChIP-Seq/04-22-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000010.3.ca774e05-01f1-4f9c-893d-567180980361.*,IHECRE00000010
IHECRE00000011.3,partial,BLUEPRINT,ChIP-Seq,H3K27ac,869f322e-d61a-4e6d-81c3-8e01a3a33de3,EGAR00001143016,EGAR00001403265,42,44,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,08-24-2022,incoming/ChIP-Seq/08-24-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000011.3.869f322e-d61a-4e6d-81c3-8e01a3a33de3.*,IHECRE00000011
IHECRE00000011.3,partial,BLUEPRINT,ChIP-Seq,H3K27me3,125f18ad-766a-45e3-84cf-daeb5f03c498,EGAR00001143050,EGAR00001403265,42,44,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,08-24-2022,incoming/ChIP-Seq/08-24-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000011.3.125f18ad-766a-45e3-84cf-daeb5f03c498.*,IHECRE00000011
IHECRE00000011.3,partial,BLUEPRINT,ChIP-Seq,H3K36me3,0577fb60-94aa-4bf3-8df5-3052726a62ae,EGAR00001143048,EGAR00001403265,42,44,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,08-24-2022,incoming/ChIP-Seq/08-24-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000011.3.0577fb60-94aa-4bf3-8df5-3052726a62ae.*,IHECRE00000011
IHECRE00000011.3,partial,BLUEPRINT,ChIP-Seq,H3K4me1,96865ef9-2251-4675-a220-6a411c1719a0,EGAR00001143049,EGAR00001403265,42,44,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,08-24-2022,incoming/ChIP-Seq/08-24-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000011.3.96865ef9-2251-4675-a220-6a411c1719a0.*,IHECRE00000011
IHECRE00000011.3,partial,BLUEPRINT,ChIP-Seq,H3K4me3,ef2976c0-98eb-432e-acaf-6abb012a19df,EGAR00001185080,EGAR00001403265,42,44,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,08-24-2022,incoming/ChIP-Seq/08-24-2022/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000011.3.ef2976c0-98eb-432e-acaf-6abb012a19df.*,IHECRE00000011
IHECRE00000011.3,partial,BLUEPRINT,RNA-Seq,total-RNA-Seq,2babb39b-e470-4316-91f5-5fcd69508092,EGAR00001190314,nan,76,nan,75,nan,ihec-rnaseq-containerv1.1.0,true,true,true,05-06-2022,incoming/RNA-Seq/05-06-2022/ihec.rna-seq.ihec-grapenf-containerv1.1.0.IHECRE00000011.3.2babb39b-e470-4316-91f5-5fcd69508092.*,IHECRE00000011
IHECRE00000012.3,partial,BLUEPRINT,RNA-Seq,total-RNA-Seq,40b95995-0864-4a1b-a3b2-c2d2dbe05878,EGAR00001246140,nan,76,nan,75,nan,ihec-rnaseq-containerv1.1.0,true,true,true,05-06-2022,incoming/RNA-Seq/05-06-2022/ihec.rna-seq.ihec-grapenf-containerv1.1.0.IHECRE00000012.3.40b95995-0864-4a1b-a3b2-c2d2dbe05878.*,IHECRE00000012
IHECRE00000013.3,complete,BLUEPRINT,ChIP-Seq,H3K27ac,21204e63-5580-42b6-aaaf-3888daa8192c,EGAR00001185085,EGAR00001185150,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000013.3.21204e63-5580-42b6-aaaf-3888daa8192c.*,IHECRE00000013
IHECRE00000013.3,complete,BLUEPRINT,ChIP-Seq,H3K27me3,7b485c8e-2ba6-4ba4-bb0c-5db4ffb286e5,EGAR00001185137,EGAR00001185150,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000013.3.7b485c8e-2ba6-4ba4-bb0c-5db4ffb286e5.*,IHECRE00000013
IHECRE00000013.3,complete,BLUEPRINT,ChIP-Seq,H3K36me3,eeae79e0-ee5e-42e1-9f29-f42824b74440,EGAR00001185135,EGAR00001185150,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000013.3.eeae79e0-ee5e-42e1-9f29-f42824b74440.*,IHECRE00000013
IHECRE00000013.3,complete,BLUEPRINT,ChIP-Seq,H3K4me1,c56fb850-5356-4ade-95b8-b00dc069d5ee,EGAR00001185136,EGAR00001185150,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000013.3.c56fb850-5356-4ade-95b8-b00dc069d5ee.*,IHECRE00000013
IHECRE00000013.3,complete,BLUEPRINT,ChIP-Seq,H3K4me3,bd23c770-d9c3-4fd2-8198-dd9ba0210881,EGAR00001185100,EGAR00001185150,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000013.3.bd23c770-d9c3-4fd2-8198-dd9ba0210881.*,IHECRE00000013
IHECRE00000013.3,complete,BLUEPRINT,ChIP-Seq,H3K9me3,153650ef-7ef6-43cd-b5dc-cf062deb8afd,EGAR00001185138,EGAR00001185150,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000013.3.153650ef-7ef6-43cd-b5dc-cf062deb8afd.*,IHECRE00000013
IHECRE00000013.3,complete,BLUEPRINT,RNA-Seq,total-RNA-Seq,ba38aaf9-e2a4-4204-8db6-681cde95c751,EGAR00001246129;EGAR00001246132,nan,76;76,nan,75;75,nan,ihec-rnaseq-containerv1.1.0,true,true,true,05-06-2022,incoming/RNA-Seq/05-06-2022/ihec.rna-seq.ihec-grapenf-containerv1.1.0.IHECRE00000013.3.ba38aaf9-e2a4-4204-8db6-681cde95c751.*,IHECRE00000013
IHECRE00000013.3,complete,BLUEPRINT,WGBS,standard,0cc882b9-8b8a-47a0-a3b9-c7e93a064919,EGAR00001220086;EGAR00001220090;EGAR00001220094;EGAR00001220098;EGAR00001220102;EGAR00001220106;EGAR00001220110;EGAR00001220122;EGAR00001220126;EGAR00001220173;EGAR00001220185;EGAR00001220197;EGAR00001220233;EGAR00001220237;EGAR00001220241;EGAR00001220245;EGAR00001220249,nan,101;101;101;101;101;101;101;101;100;101;101;101;101;101;101;101;101,nan,100;101,nan,ihec-wgbs-containerv3.5.0,nan,true,nan,05-07-2021,incoming/WGBS/05-07-2021/ihec.wgbs.ihec-gembs-containerv3.5.0.IHECRE00000013.3.0cc882b9-8b8a-47a0-a3b9-c7e93a064919.*,IHECRE00000013
IHECRE00000014.2,complete,BLUEPRINT,ChIP-Seq,H3K27ac,6a99d923-7ab5-41be-874b-467d20e26e79,EGAR00001185089,EGAR00001137332,42,42,42,42,ihec-chipseq-containerv1.1.4,true,false,nan,12-17-2020,incoming/ChIP-Seq/ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000014.2.6a99d923-7ab5-41be-874b-467d20e26e79.*,IHECRE00000014
