EpiRR Ordering,EpiRR,Biospecimen Disease,Broad Biospecimen Label,Broad Colour,Intermediate Biospecimen Label,Intermediate Colour,Curated Biospecimen Label
122,IHECRE00003337.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA44-45
123,IHECRE00003237.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA44-45
124,IHECRE00003365.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA45
125,IHECRE00003128.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA45
126,IHECRE00000948.6,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA46
127,IHECRE00000922.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA8-9
128,IHECRE00003303.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
129,IHECRE00003221.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
130,IHECRE00003168.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
131,IHECRE00003300.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
132,IHECRE00003291.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
133,IHECRE00003147.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
134,IHECRE00003120.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
135,IHECRE00003358.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
136,IHECRE00003273.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
137,IHECRE00003292.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
138,IHECRE00003162.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
139,IHECRE00003119.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
140,IHECRE00003167.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
141,IHECRE00003208.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
142,IHECRE00003270.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
143,IHECRE00003306.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
144,IHECRE00003327.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
145,IHECRE00003203.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
146,IHECRE00003385.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
147,IHECRE00003362.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
148,IHECRE00003242.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
149,IHECRE00003363.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
150,IHECRE00003252.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
151,IHECRE00003294.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
152,IHECRE00003394.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
153,IHECRE00003384.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
154,IHECRE00003225.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
155,IHECRE00003116.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
156,IHECRE00003181.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
157,IHECRE00003178.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
158,IHECRE00003290.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
159,IHECRE00003311.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
160,IHECRE00003379.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
161,IHECRE00003209.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
162,IHECRE00003345.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
163,IHECRE00003186.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
164,IHECRE00003375.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
165,IHECRE00003349.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
166,IHECRE00003234.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
167,IHECRE00003174.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
168,IHECRE00003331.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
169,IHECRE00003308.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
170,IHECRE00003131.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
171,IHECRE00003238.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
172,IHECRE00003224.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
173,IHECRE00003339.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
174,IHECRE00003198.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
175,IHECRE00003171.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
176,IHECRE00003117.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
177,IHECRE00003354.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
178,IHECRE00003161.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
179,IHECRE00003122.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
180,IHECRE00003187.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
181,IHECRE00003220.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
182,IHECRE00003295.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
183,IHECRE00003160.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
184,IHECRE00003247.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
185,IHECRE00003310.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
186,IHECRE00003241.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
187,IHECRE00003346.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
188,IHECRE00003395.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
189,IHECRE00003323.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
190,IHECRE00003233.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
191,IHECRE00003259.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
192,IHECRE00003281.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
193,IHECRE00003255.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
194,IHECRE00003288.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
195,IHECRE00003244.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
196,IHECRE00003169.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
197,IHECRE00003114.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
198,IHECRE00003389.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
199,IHECRE00003108.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
200,IHECRE00003223.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
201,IHECRE00003197.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
202,IHECRE00003212.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
203,IHECRE00003302.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
204,IHECRE00003184.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
205,IHECRE00003210.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
206,IHECRE00003376.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
207,IHECRE00003279.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
208,IHECRE00003218.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
209,IHECRE00003217.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
210,IHECRE00003380.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
211,IHECRE00003113.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
212,IHECRE00003125.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
213,IHECRE00003240.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
214,IHECRE00003109.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
215,IHECRE00003266.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
216,IHECRE00003278.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
217,IHECRE00003289.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe BA9
218,IHECRE00003219.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe Prefrontal Cortex
219,IHECRE00003366.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Frontal Lobe Prefrontal Cortex
220,IHECRE00004892.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Hippocampal Formation
221,IHECRE00000940.6,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Hippocampus
222,IHECRE00004899.1,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Insular Cortes
223,IHECRE00003678.3,Cancer,brain,"185,126,30",brain,"185,126,30",Brain Oligodendroglioma
224,IHECRE00000238.3,Cancer,brain,"185,126,30",brain,"185,126,30",Brain Oligodendroglioma
225,IHECRE00003677.3,Cancer,brain,"185,126,30",brain,"185,126,30",Brain Oligodendroglioma
226,IHECRE00000986.6,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Substantia Nigra
227,IHECRE00000955.6,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe
228,IHECRE00003374.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA20
229,IHECRE00003296.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA20-37
230,IHECRE00003253.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA20-37
231,IHECRE00003177.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA20-37
232,IHECRE00003129.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22
233,IHECRE00003199.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
234,IHECRE00003163.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
235,IHECRE00003256.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
236,IHECRE00003175.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
237,IHECRE00003251.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
238,IHECRE00003138.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
239,IHECRE00003173.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
240,IHECRE00003105.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
241,IHECRE00003200.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
242,IHECRE00003189.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
243,IHECRE00003381.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
244,IHECRE00003195.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
245,IHECRE00003143.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
246,IHECRE00003263.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
247,IHECRE00003142.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
248,IHECRE00003329.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
249,IHECRE00003318.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
250,IHECRE00003166.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
251,IHECRE00003145.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
252,IHECRE00003231.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
253,IHECRE00003373.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
254,IHECRE00003340.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
255,IHECRE00003320.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
256,IHECRE00003139.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
257,IHECRE00003106.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
258,IHECRE00003391.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
259,IHECRE00003249.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
260,IHECRE00003368.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
261,IHECRE00003137.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
262,IHECRE00003265.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
263,IHECRE00003370.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
264,IHECRE00003283.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
265,IHECRE00003207.2,Disease,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
266,IHECRE00003191.2,Healthy/None,brain,"185,126,30",brain,"185,126,30",Brain Temporal Lobe BA22-41-42
