EpiRR	EpiRR_status	project	metadata	value
IHECRE00000016.3	Complete	BLUEPRINT	gender	male
IHECRE00000016.3	Complete	BLUEPRINT	tissue_type	venous blood
IHECRE00000016.3	Complete	BLUEPRINT	taxon_id	9606
IHECRE00000016.3	Complete	BLUEPRINT	species	Homo sapiens
IHECRE00000016.3	Complete	BLUEPRINT	disease	None
IHECRE00000016.3	Complete	BLUEPRINT	sample_ontology_uri	http://purl.obolibrary.org/obo/CL_0000235;http://purl.obolibrary.org/obo/UBERON_0013756
IHECRE00000016.3	Complete	BLUEPRINT	culture_conditions	http://www.blueprint-epigenome.eu/UserFiles/file/Protocols/UCAM_BluePrint_Macrophage.pdf
IHECRE00000016.3	Complete	BLUEPRINT	phenotype	CL:0000235;PATO:0000461;UBERON:0013756
IHECRE00000016.3	Complete	BLUEPRINT	cell_type	macrophage
IHECRE00000016.3	Complete	BLUEPRINT	markers	http://www.blueprint-epigenome.eu/index.cfm?p=7BF8A4B6-F4FE-861A-2AD57A08D63D0B58
IHECRE00000016.3	Complete	BLUEPRINT	biomaterial_provider	NIHR Cambridge BioResource
IHECRE00000016.3	Complete	BLUEPRINT	donor_health_status	NA
IHECRE00000022.3	Complete	BLUEPRINT	biomaterial_type	Primary Cell
IHECRE00000022.3	Complete	BLUEPRINT	donor_id	S00C2F
IHECRE00000022.3	Complete	BLUEPRINT	disease_ontology_uri	NA
IHECRE00000022.3	Complete	BLUEPRINT	donor_ethnicity	NA
IHECRE00000022.3	Complete	BLUEPRINT	passage_if_expanded	NA
IHECRE00000022.3	Complete	BLUEPRINT	donor_sex	Male
IHECRE00000022.3	Complete	BLUEPRINT	subject_id	S00C2F
IHECRE00000022.3	Complete	BLUEPRINT	gender	male
IHECRE00000022.3	Complete	BLUEPRINT	tissue_type	cord blood
IHECRE00000022.3	Complete	BLUEPRINT	taxon_id	9606
IHECRE00000022.3	Complete	BLUEPRINT	species	Homo sapiens
IHECRE00000022.3	Complete	BLUEPRINT	disease	None
IHECRE00000022.3	Complete	BLUEPRINT	sample_ontology_uri	http://purl.obolibrary.org/obo/CL_0000625;http://purl.obolibrary.org/obo/UBERON_0012168
IHECRE00000022.3	Complete	BLUEPRINT	donor_age	0 - 5
IHECRE00000022.3	Complete	BLUEPRINT	phenotype	CL:0000625;PATO:0000461;UBERON:0012168
IHECRE00000022.3	Complete	BLUEPRINT	cell_type	CD8-positive, alpha-beta T cell
IHECRE00000022.3	Complete	BLUEPRINT	markers	CD3+ CD8+ CD45RA+
IHECRE00000022.3	Complete	BLUEPRINT	donor_health_status	NA
IHECRE00000022.3	Complete	BLUEPRINT	biomaterial_provider	NIHR Cambridge BioResource
IHECRE00000024.3	Complete	BLUEPRINT	biomaterial_type	Primary Cell
IHECRE00000024.3	Complete	BLUEPRINT	tissue_type	venous blood
IHECRE00000024.3	Complete	BLUEPRINT	disease_ontology_uri	NA
IHECRE00000024.3	Complete	BLUEPRINT	taxon_id	9606
IHECRE00000024.3	Complete	BLUEPRINT	species	Homo sapiens
IHECRE00000024.3	Complete	BLUEPRINT	passage_if_expanded	NA
IHECRE00000024.3	Complete	BLUEPRINT	disease	None
IHECRE00000024.3	Complete	BLUEPRINT	sample_ontology_uri	http://purl.obolibrary.org/obo/CL_0000939;http://purl.obolibrary.org/obo/UBERON_0013756
IHECRE00000024.3	Complete	BLUEPRINT	donor_sex	Male
IHECRE00000024.3	Complete	BLUEPRINT	phenotype	CL:0000939;PATO:0000461;UBERON:0013756
IHECRE00000024.3	Complete	BLUEPRINT	cell_type	cytotoxic CD56-dim natural killer cell
IHECRE00000024.3	Complete	BLUEPRINT	markers	CD3- CD56+ CD16dim
IHECRE00000024.3	Complete	BLUEPRINT	gender	male
IHECRE00000024.3	Complete	BLUEPRINT	donor_health_status	NA
IHECRE00000024.3	Complete	BLUEPRINT	biomaterial_provider	NIHR Cambridge BioResource
IHECRE00000027.3	Complete	BLUEPRINT	biomaterial_type	Primary Cell
IHECRE00000027.3	Complete	BLUEPRINT	disease_ontology_uri	NA
IHECRE00000027.3	Complete	BLUEPRINT	donor_id	C000S5
IHECRE00000027.3	Complete	BLUEPRINT	donor_ethnicity	Northern European
IHECRE00000027.3	Complete	BLUEPRINT	passage_if_expanded	NA
IHECRE00000027.3	Complete	BLUEPRINT	donor_sex	Male
IHECRE00000027.3	Complete	BLUEPRINT	subject_id	C000S5
IHECRE00000027.3	Complete	BLUEPRINT	gender	male
IHECRE00000027.3	Complete	BLUEPRINT	tissue_type	venous blood
IHECRE00000027.3	Complete	BLUEPRINT	taxon_id	9606
IHECRE00000027.3	Complete	BLUEPRINT	species	Homo sapiens
IHECRE00000027.3	Complete	BLUEPRINT	disease	None
IHECRE00000027.3	Complete	BLUEPRINT	sample_ontology_uri	http://purl.obolibrary.org/obo/CL_0002057;http://purl.obolibrary.org/obo/UBERON_0013756
IHECRE00000027.3	Complete	BLUEPRINT	donor_age	65 - 70
IHECRE00000027.3	Complete	BLUEPRINT	phenotype	CL:0002057;PATO:0000461;UBERON:0013756
IHECRE00000027.3	Complete	BLUEPRINT	cell_type	CD14-positive, CD16-negative classical monocyte
IHECRE00000027.3	Complete	BLUEPRINT	markers	CD14+ CD16-
IHECRE00000027.3	Complete	BLUEPRINT	donor_health_status	NA
IHECRE00000027.3	Complete	BLUEPRINT	biomaterial_provider	NIHR Cambridge BioResource
IHECRE00000034.3	Complete	BLUEPRINT	biomaterial_type	Primary Cell
IHECRE00000034.3	Complete	BLUEPRINT	tissue_type	venous blood
IHECRE00000034.3	Complete	BLUEPRINT	disease_ontology_uri	NA
IHECRE00000034.3	Complete	BLUEPRINT	taxon_id	9606
IHECRE00000034.3	Complete	BLUEPRINT	species	Homo sapiens
IHECRE00000034.3	Complete	BLUEPRINT	passage_if_expanded	NA
IHECRE00000034.3	Complete	BLUEPRINT	disease	None
IHECRE00000034.3	Complete	BLUEPRINT	sample_ontology_uri	http://purl.obolibrary.org/obo/CL_0002102;http://purl.obolibrary.org/obo/UBERON_0013756
IHECRE00000034.3	Complete	BLUEPRINT	donor_sex	Female
IHECRE00000034.3	Complete	BLUEPRINT	phenotype	CL:0002102;PATO:0000461;UBERON:0013756
IHECRE00000034.3	Complete	BLUEPRINT	cell_type	CD38-negative naive B cell
IHECRE00000034.3	Complete	BLUEPRINT	markers	CD19+ CD27- IgD+
IHECRE00000034.3	Complete	BLUEPRINT	gender	female
IHECRE00000034.3	Complete	BLUEPRINT	donor_health_status	NA
IHECRE00000034.3	Complete	BLUEPRINT	biomaterial_provider	NIHR Cambridge BioResource
IHECRE00000043.3	Complete	BLUEPRINT	biomaterial_type	Primary Cell Culture
IHECRE00000043.3	Complete	BLUEPRINT	disease_ontology_uri	NA
IHECRE00000043.3	Complete	BLUEPRINT	donor_id	S001S7
IHECRE00000043.3	Complete	BLUEPRINT	donor_ethnicity	NA
IHECRE00000043.3	Complete	BLUEPRINT	passage_if_expanded	http://www.blueprint-epigenome.eu/UserFiles/file/Protocols/UCAM_BluePrint_Macrophage.pdf
IHECRE00000043.3	Complete	BLUEPRINT	donor_sex	Female
IHECRE00000043.3	Complete	BLUEPRINT	subject_id	S001S7
IHECRE00000043.3	Complete	BLUEPRINT	gender	female
IHECRE00000043.3	Complete	BLUEPRINT	tissue_type	venous blood
IHECRE00000043.3	Complete	BLUEPRINT	taxon_id	9606
IHECRE00000043.3	Complete	BLUEPRINT	species	Homo sapiens
IHECRE00000043.3	Complete	BLUEPRINT	disease	None
IHECRE00000043.3	Complete	BLUEPRINT	sample_ontology_uri	http://purl.obolibrary.org/obo/CL_0000863;http://purl.obolibrary.org/obo/UBERON_0013756
IHECRE00000043.3	Complete	BLUEPRINT	donor_age	40 - 45
IHECRE00000043.3	Complete	BLUEPRINT	culture_conditions	http://www.blueprint-epigenome.eu/UserFiles/file/Protocols/UCAM_BluePrint_Macrophage.pdf
IHECRE00000043.3	Complete	BLUEPRINT	phenotype	CL:0000863;PATO:0000461;UBERON:0013756
IHECRE00000043.3	Complete	BLUEPRINT	cell_type	inflammatory macrophage
IHECRE00000043.3	Complete	BLUEPRINT	markers	http://www.blueprint-epigenome.eu/index.cfm?p=7BF8A4B6-F4FE-861A-2AD57A08D63D0B58
IHECRE00000043.3	Complete	BLUEPRINT	biomaterial_provider	NIHR Cambridge BioResource
IHECRE00000043.3	Complete	BLUEPRINT	donor_health_status	NA
IHECRE00000048.3	Complete	BLUEPRINT	biomaterial_type	Primary Cell
IHECRE00000048.3	Complete	BLUEPRINT	donor_id	S000RD
IHECRE00000048.3	Complete	BLUEPRINT	disease_ontology_uri	NA
IHECRE00000048.3	Complete	BLUEPRINT	donor_ethnicity	NA
IHECRE00000048.3	Complete	BLUEPRINT	passage_if_expanded	NA
IHECRE00000048.3	Complete	BLUEPRINT	donor_sex	Male
IHECRE00000048.3	Complete	BLUEPRINT	subject_id	S000RD
IHECRE00000048.3	Complete	BLUEPRINT	gender	male
IHECRE00000048.3	Complete	BLUEPRINT	tissue_type	cord blood
IHECRE00000048.3	Complete	BLUEPRINT	taxon_id	9606
IHECRE00000048.3	Complete	BLUEPRINT	species	Homo sapiens
IHECRE00000048.3	Complete	BLUEPRINT	disease	None
IHECRE00000048.3	Complete	BLUEPRINT	sample_ontology_uri	http://purl.obolibrary.org/obo/CL_0002057;http://purl.obolibrary.org/obo/UBERON_0012168
IHECRE00000048.3	Complete	BLUEPRINT	donor_age	0 - 5
IHECRE00000048.3	Complete	BLUEPRINT	phenotype	CL:0002057;PATO:0000461;UBERON:0012168
IHECRE00000048.3	Complete	BLUEPRINT	cell_type	CD14-positive, CD16-negative classical monocyte
IHECRE00000048.3	Complete	BLUEPRINT	markers	CD14+ CD16-
IHECRE00000048.3	Complete	BLUEPRINT	donor_health_status	NA
IHECRE00000048.3	Complete	BLUEPRINT	biomaterial_provider	NIHR Cambridge BioResource
IHECRE00000051.3	Complete	BLUEPRINT	biomaterial_type	Primary Cell
IHECRE00000051.3	Complete	BLUEPRINT	disease_ontology_uri	http://ncimeta.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20MetaThesaurus&code=C0023487
IHECRE00000051.3	Complete	BLUEPRINT	donor_id	pz 284
IHECRE00000051.3	Complete	BLUEPRINT	donor_ethnicity	Caucasian
IHECRE00000051.3	Complete	BLUEPRINT	passage_if_expanded	NA
IHECRE00000051.3	Complete	BLUEPRINT	genetic_characteristics	Translocation t(15;17)
IHECRE00000051.3	Complete	BLUEPRINT	donor_sex	Female
IHECRE00000051.3	Complete	BLUEPRINT	gender	female
IHECRE00000051.3	Complete	BLUEPRINT	tissue_type	bone marrow
IHECRE00000051.3	Complete	BLUEPRINT	taxon_id	9606
IHECRE00000051.3	Complete	BLUEPRINT	species	Homo sapiens
IHECRE00000051.3	Complete	BLUEPRINT	disease	Acute Promyelocytic Leukemia
IHECRE00000051.3	Complete	BLUEPRINT	sample_ontology_uri	http://purl.obolibrary.org/obo/CL_0000763
IHECRE00000051.3	Complete	BLUEPRINT	donor_age	40 - 45
IHECRE00000051.3	Complete	BLUEPRINT	treatment	ATRA
IHECRE00000051.3	Complete	BLUEPRINT	phenotype	CL_0000763;C0023487;UBERON_0002371
IHECRE00000051.3	Complete	BLUEPRINT	cell_type	myeloid cell
IHECRE00000051.3	Complete	BLUEPRINT	biomaterial_provider	Prof: Lucia Altucci  (SECONDA UNIVERSITA' di NAPOLI- IT)
IHECRE00000051.3	Complete	BLUEPRINT	donor_health_status	Acute Promyelocytic Leukemia
IHECRE00000053.3	Complete	BLUEPRINT	biomaterial_type	Primary Cell
IHECRE00000053.3	Complete	BLUEPRINT	disease_ontology_uri	http://ncimeta.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20MetaThesaurus&code=C0023467
IHECRE00000053.3	Complete	BLUEPRINT	donor_id	UMCG00018
IHECRE00000053.3	Complete	BLUEPRINT	donor_ethnicity	Caucasian
IHECRE00000053.3	Complete	BLUEPRINT	passage_if_expanded	NA
IHECRE00000053.3	Complete	BLUEPRINT	donor_sex	Female
IHECRE00000053.3	Complete	BLUEPRINT	gender	female
IHECRE00000053.3	Complete	BLUEPRINT	tissue_type	bone marrow
IHECRE00000053.3	Complete	BLUEPRINT	taxon_id	9606
IHECRE00000053.3	Complete	BLUEPRINT	species	Homo sapiens
IHECRE00000053.3	Complete	BLUEPRINT	disease	Acute Myeloid Leukemia
IHECRE00000053.3	Complete	BLUEPRINT	sample_ontology_uri	http://purl.obolibrary.org/obo/CL_0000763
IHECRE00000053.3	Complete	BLUEPRINT	donor_age	55 - 60
IHECRE00000053.3	Complete	BLUEPRINT	cell_type	myeloid cell
IHECRE00000053.3	Complete	BLUEPRINT	markers	CD33+
IHECRE00000053.3	Complete	BLUEPRINT	donor_health_status	Acute Myeloid Leukemia
IHECRE00000053.3	Complete	BLUEPRINT	biomaterial_provider	Prof.dr. E. Vellenga, University Medical Centre Groningen - Department of Hematology
IHECRE00000055.3	Complete	BLUEPRINT	biomaterial_type	Primary Cell Culture
IHECRE00000055.3	Complete	BLUEPRINT	disease_ontology_uri	NA
IHECRE00000055.3	Complete	BLUEPRINT	donor_id	S00C1H
IHECRE00000055.3	Complete	BLUEPRINT	donor_ethnicity	NA
IHECRE00000055.3	Complete	BLUEPRINT	passage_if_expanded	http://www.blueprint-epigenome.eu/UserFiles/file/Protocols/UCAM_BluePrint_Macrophage.pdf
IHECRE00000055.3	Complete	BLUEPRINT	donor_sex	Female
IHECRE00000055.3	Complete	BLUEPRINT	subject_id	S00C1H
IHECRE00000055.3	Complete	BLUEPRINT	gender	female
IHECRE00000055.3	Complete	BLUEPRINT	tissue_type	cord blood
IHECRE00000055.3	Complete	BLUEPRINT	taxon_id	9606
IHECRE00000055.3	Complete	BLUEPRINT	species	Homo sapiens
IHECRE00000055.3	Complete	BLUEPRINT	disease	None
IHECRE00000055.3	Complete	BLUEPRINT	sample_ontology_uri	http://purl.obolibrary.org/obo/CL_0000890;http://purl.obolibrary.org/obo/UBERON_0012168
IHECRE00000055.3	Complete	BLUEPRINT	donor_age	0 - 5
IHECRE00000055.3	Complete	BLUEPRINT	culture_conditions	http://www.blueprint-epigenome.eu/UserFiles/file/Protocols/UCAM_BluePrint_Macrophage.pdf
IHECRE00000055.3	Complete	BLUEPRINT	phenotype	CL:0000890;PATO:0000461;UBERON:0012168
IHECRE00000055.3	Complete	BLUEPRINT	cell_type	alternatively activated macrophage
IHECRE00000055.3	Complete	BLUEPRINT	markers	http://www.blueprint-epigenome.eu/index.cfm?p=7BF8A4B6-F4FE-861A-2AD57A08D63D0B58
IHECRE00000055.3	Complete	BLUEPRINT	biomaterial_provider	NIHR Cambridge BioResource
IHECRE00000055.3	Complete	BLUEPRINT	donor_health_status	NA
IHECRE00000002.3	Partial	BLUEPRINT	biomaterial_type	Primary Cell
IHECRE00000002.3	Partial	BLUEPRINT	disease_ontology_uri	http://ncimeta.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20MetaThesaurus&code=C0023487
IHECRE00000002.3	Partial	BLUEPRINT	donor_id	pz 289
IHECRE00000002.3	Partial	BLUEPRINT	donor_ethnicity	Caucasian
IHECRE00000002.3	Partial	BLUEPRINT	passage_if_expanded	NA
IHECRE00000002.3	Partial	BLUEPRINT	genetic_characteristics	Translocation t(15;17)
IHECRE00000002.3	Partial	BLUEPRINT	donor_sex	Female
IHECRE00000002.3	Partial	BLUEPRINT	gender	female
IHECRE00000002.3	Partial	BLUEPRINT	tissue_type	bone marrow
IHECRE00000002.3	Partial	BLUEPRINT	taxon_id	9606
IHECRE00000002.3	Partial	BLUEPRINT	species	Homo sapiens
IHECRE00000002.3	Partial	BLUEPRINT	disease	Acute Promyelocytic Leukemia
IHECRE00000002.3	Partial	BLUEPRINT	sample_ontology_uri	http://purl.obolibrary.org/obo/CL_0000763
IHECRE00000002.3	Partial	BLUEPRINT	donor_age	30 - 35
IHECRE00000002.3	Partial	BLUEPRINT	treatment	MC2884 (4h)
IHECRE00000002.3	Partial	BLUEPRINT	phenotype	CL_0000763;C0023487;UBERON_0002371
IHECRE00000002.3	Partial	BLUEPRINT	cell_type	myeloid cell
IHECRE00000002.3	Partial	BLUEPRINT	markers	NA
IHECRE00000002.3	Partial	BLUEPRINT	biomaterial_provider	Prof: Lucia Altucci  (SECONDA UNIVERSITA' di NAPOLI- IT)
IHECRE00000002.3	Partial	BLUEPRINT	donor_health_status	Acute Promyelocytic Leukemia
IHECRE00000003.3	Partial	BLUEPRINT	biomaterial_type	Primary Cell
IHECRE00000003.3	Partial	BLUEPRINT	disease_ontology_uri	NA
IHECRE00000003.3	Partial	BLUEPRINT	donor_id	C001FR
IHECRE00000003.3	Partial	BLUEPRINT	donor_ethnicity	Northern European
IHECRE00000003.3	Partial	BLUEPRINT	passage_if_expanded	NA
IHECRE00000003.3	Partial	BLUEPRINT	donor_sex	Female
IHECRE00000003.3	Partial	BLUEPRINT	subject_id	C001FR
IHECRE00000003.3	Partial	BLUEPRINT	gender	female
IHECRE00000003.3	Partial	BLUEPRINT	tissue_type	venous blood
IHECRE00000003.3	Partial	BLUEPRINT	taxon_id	9606
IHECRE00000003.3	Partial	BLUEPRINT	species	Homo sapiens
IHECRE00000003.3	Partial	BLUEPRINT	disease	None
IHECRE00000003.3	Partial	BLUEPRINT	sample_ontology_uri	http://purl.obolibrary.org/obo/CL_0000815;http://purl.obolibrary.org/obo/UBERON_0013756
IHECRE00000003.3	Partial	BLUEPRINT	donor_age	60 - 65
IHECRE00000003.3	Partial	BLUEPRINT	phenotype	CL:0000815;PATO:0000461;UBERON:0013756
IHECRE00000003.3	Partial	BLUEPRINT	cell_type	regulatory T cell
IHECRE00000003.3	Partial	BLUEPRINT	markers	CD3+ CD4+ CD25+ CD127low
IHECRE00000003.3	Partial	BLUEPRINT	donor_health_status	NA
IHECRE00000003.3	Partial	BLUEPRINT	molecule	total RNA
IHECRE00000003.3	Partial	BLUEPRINT	biomaterial_provider	NIHR Cambridge BioResource
IHECRE00000006.3	Partial	BLUEPRINT	biomaterial_type	Primary Cell
IHECRE00000006.3	Partial	BLUEPRINT	donor_id	S001QB
IHECRE00000006.3	Partial	BLUEPRINT	disease_ontology_uri	NA
IHECRE00000006.3	Partial	BLUEPRINT	donor_ethnicity	NA
IHECRE00000006.3	Partial	BLUEPRINT	passage_if_expanded	NA
IHECRE00000006.3	Partial	BLUEPRINT	donor_sex	Unknown
IHECRE00000006.3	Partial	BLUEPRINT	subject_id	S001QB
IHECRE00000006.3	Partial	BLUEPRINT	gender	unknown
IHECRE00000006.3	Partial	BLUEPRINT	tissue_type	cord blood
IHECRE00000006.3	Partial	BLUEPRINT	taxon_id	9606
IHECRE00000006.3	Partial	BLUEPRINT	species	Homo sapiens
IHECRE00000006.3	Partial	BLUEPRINT	disease	None
IHECRE00000006.3	Partial	BLUEPRINT	sample_ontology_uri	http://purl.obolibrary.org/obo/CL_0000037;http://purl.obolibrary.org/obo/UBERON_0012168
IHECRE00000006.3	Partial	BLUEPRINT	donor_age	0 - 5
IHECRE00000006.3	Partial	BLUEPRINT	phenotype	CL:0000037;PATO:0000461;UBERON:0012168
IHECRE00000006.3	Partial	BLUEPRINT	cell_type	hematopoietic stem cell
IHECRE00000006.3	Partial	BLUEPRINT	markers	CD34+ CD38- CD90+ CD45RA-
IHECRE00000006.3	Partial	BLUEPRINT	donor_health_status	NA
IHECRE00000006.3	Partial	BLUEPRINT	biomaterial_provider	NIHR Cambridge BioResource
IHECRE00000006.3	Partial	BLUEPRINT	molecule	polyA RNA
IHECRE00000009.3	Partial	BLUEPRINT	biomaterial_type	Primary Cell
IHECRE00000009.3	Partial	BLUEPRINT	disease_ontology_uri	NA
IHECRE00000009.3	Partial	BLUEPRINT	donor_id	C002Q1
IHECRE00000009.3	Partial	BLUEPRINT	donor_ethnicity	Northern European
IHECRE00000009.3	Partial	BLUEPRINT	passage_if_expanded	NA
IHECRE00000009.3	Partial	BLUEPRINT	donor_sex	Male
IHECRE00000009.3	Partial	BLUEPRINT	subject_id	C002Q1
IHECRE00000009.3	Partial	BLUEPRINT	gender	male
IHECRE00000009.3	Partial	BLUEPRINT	tissue_type	venous blood
IHECRE00000009.3	Partial	BLUEPRINT	taxon_id	9606
IHECRE00000009.3	Partial	BLUEPRINT	species	Homo sapiens
IHECRE00000009.3	Partial	BLUEPRINT	disease	None
IHECRE00000009.3	Partial	BLUEPRINT	sample_ontology_uri	http://purl.obolibrary.org/obo/CL_0000624;http://purl.obolibrary.org/obo/UBERON_0013756
IHECRE00000009.3	Partial	BLUEPRINT	donor_age	50 - 55
IHECRE00000009.3	Partial	BLUEPRINT	phenotype	CL:0000624;PATO:0000461;UBERON:0013756
IHECRE00000009.3	Partial	BLUEPRINT	cell_type	CD4-positive, alpha-beta T cell
IHECRE00000009.3	Partial	BLUEPRINT	markers	CD3+ CD4+ CD45RA+
IHECRE00000009.3	Partial	BLUEPRINT	donor_health_status	NA
IHECRE00000009.3	Partial	BLUEPRINT	molecule	genomic DNA
